puzzle_id,solved,correct,time_seconds,nodes_explored,backtracks,arc_revisions,steps,error
lgp-test-2x5-36,True,True,0.0000,11,0,21,11,"{""1"": {""name"": ""Eric"", ""flower"": ""daffodils"", ""genre"": ""pop"", ""child"": ""Bella"", ""cigar"": ""pall mall""}, ""2"": {""name"": ""Arnold"", ""flower"": ""carnations"", ""genre"": ""rock"", ""child"": ""Fred"", ""cigar"": ""prince""}}",
lgp-test-2x4-32,True,True,0.0010,9,0,13,9,"{""1"": {""name"": ""Eric"", ""genre"": ""mystery"", ""month"": ""sept"", ""vacation"": ""beach""}, ""2"": {""name"": ""Arnold"", ""genre"": ""science fiction"", ""month"": ""april"", ""vacation"": ""mountain""}}",
lgp-test-2x3-8,True,True,0.0000,7,0,8,7,"{""1"": {""name"": ""Eric"", ""month"": ""april"", ""are"": ""Aniya""}, ""2"": {""name"": ""Arnold"", ""month"": ""sept"", ""are"": ""Holly""}}",
lgp-test-5x6-13,True,False,0.0020,26,2,133,26,"{""1"": {""drink"": ""milk"", ""name"": ""Arnold"", ""occupation"": ""doctor"", ""model"": ""huawei p50"", ""lunch"": ""spaghetti""}, ""2"": {""name"": ""Peter"", ""lunch"": ""grilled cheese"", ""model"": ""oneplus 9"", ""occupation"": ""lawyer"", ""drink"": ""water""}, ""3"": {""name"": ""Alice"", ""lunch"": ""stir fry"", ""model"": ""samsung galaxy s21"", ""occupation"": ""artist"", ""drink"": ""root beer""}, ""4"": {""name"": ""Eric"", ""model"": ""google pixel 6"", ""drink"": ""tea"", ""lunch"": ""pizza"", ""occupation"": ""teacher""}, ""5"": {""name"": ""Bob"", ""model"": ""iphone 13"", ""lunch"": ""stew"", ""drink"": ""coffee"", ""occupation"": ""engineer""}}",
lgp-test-2x4-13,True,True,0.0000,9,0,12,9,"{""1"": {""name"": ""Eric"", ""genre"": ""mystery"", ""animal"": ""horse"", ""sport"": ""basketball""}, ""2"": {""name"": ""Arnold"", ""genre"": ""science fiction"", ""animal"": ""cat"", ""sport"": ""soccer""}}",
lgp-test-4x4-25,True,False,0.0000,13,0,42,13,"{""1"": {""name"": ""Alice"", ""model"": ""oneplus 9"", ""pet"": ""fish""}, ""2"": {""name"": ""Peter"", ""model"": ""google pixel 6"", ""pet"": ""bird""}, ""3"": {""name"": ""Eric"", ""model"": ""iphone 13"", ""pet"": ""dog""}, ""4"": {""name"": ""Arnold"", ""model"": ""samsung galaxy s21"", ""pet"": ""cat""}}",
lgp-test-4x5-1,True,True,0.0010,34,20,86,34,"{""1"": {""name"": ""Peter"", ""house"": ""colonial"", ""education"": ""bachelor"", ""are"": ""Holly"", ""animal"": ""horse""}, ""2"": {""name"": ""Arnold"", ""house"": ""craftsman"", ""education"": ""high school"", ""are"": ""Aniya"", ""animal"": ""cat""}, ""3"": {""name"": ""Alice"", ""education"": ""associate"", ""are"": ""Kailyn"", ""house"": ""victorian"", ""animal"": ""bird""}, ""4"": {""name"": ""Eric"", ""education"": ""master"", ""animal"": ""fish"", ""are"": ""Janelle"", ""house"": ""ranch""}}",
lgp-test-2x5-21,True,True,0.0000,11,0,20,11,"{""1"": {""name"": ""Arnold"", ""sport"": ""basketball"", ""child"": ""Fred"", ""drink"": ""tea"", ""lunch"": ""grilled cheese""}, ""2"": {""name"": ""Eric"", ""sport"": ""soccer"", ""child"": ""Bella"", ""drink"": ""water"", ""lunch"": ""pizza""}}",
lgp-test-6x4-1,True,False,0.0020,25,2,169,25,"{""1"": {""model"": ""samsung galaxy s21"", ""height"": ""short"", ""name"": ""Eric"", ""pet"": ""bird""}, ""2"": {""name"": ""Peter"", ""model"": ""oneplus 9"", ""pet"": ""dog"", ""height"": ""average""}, ""3"": {""height"": ""tall"", ""pet"": ""rabbit"", ""model"": ""xiaomi mi 11"", ""name"": ""Alice""}, ""4"": {""model"": ""huawei p50"", ""name"": ""Arnold"", ""pet"": ""hamster"", ""height"": ""very short""}, ""5"": {""name"": ""Carol"", ""pet"": ""fish"", ""model"": ""iphone 13"", ""height"": ""very tall""}, ""6"": {""model"": ""google pixel 6"", ""pet"": ""cat"", ""name"": ""Bob"", ""height"": ""super tall""}}",
lgp-test-6x5-5,True,False,0.0020,33,3,211,33,"{""1"": {""name"": ""Bob"", ""pet"": ""fish"", ""education"": ""doctorate"", ""smoothie"": ""dragonfruit"", ""height"": ""very short""}, ""2"": {""pet"": ""dog"", ""height"": ""short"", ""name"": ""Arnold"", ""education"": ""trade school"", ""smoothie"": ""blueberry""}, ""3"": {""pet"": ""hamster"", ""smoothie"": ""lime"", ""education"": ""master"", ""name"": ""Carol"", ""height"": ""tall""}, ""4"": {""pet"": ""bird"", ""name"": ""Alice"", ""education"": ""high school"", ""smoothie"": ""desert"", ""height"": ""average""}, ""5"": {""education"": ""associate"", ""pet"": ""rabbit"", ""smoothie"": ""cherry"", ""height"": ""very tall"", ""name"": ""Peter""}, ""6"": {""smoothie"": ""watermelon"", ""pet"": ""cat"", ""name"": ""Eric"", ""education"": ""bachelor"", ""height"": ""super tall""}}",
lgp-test-4x2-8,True,True,0.0000,9,0,39,9,"{""1"": {""name"": ""Peter"", ""color"": ""white""}, ""2"": {""name"": ""Alice"", ""color"": ""red""}, ""3"": {""name"": ""Arnold"", ""color"": ""green""}, ""4"": {""name"": ""Eric"", ""color"": ""yellow""}}",
lgp-test-4x6-37,True,True,0.0020,64,46,101,64,"{""1"": {""model"": ""ford f150"", ""occupation"": ""teacher"", ""name"": ""Alice"", ""cigar"": ""prince"", ""sport"": ""tennis"", ""pet"": ""fish""}, ""2"": {""cigar"": ""dunhill"", ""model"": ""honda civic"", ""name"": ""Arnold"", ""occupation"": ""engineer"", ""sport"": ""basketball"", ""pet"": ""dog""}, ""3"": {""name"": ""Eric"", ""model"": ""tesla model 3"", ""occupation"": ""artist"", ""cigar"": ""blue master"", ""sport"": ""swimming"", ""pet"": ""bird""}, ""4"": {""model"": ""toyota camry"", ""occupation"": ""doctor"", ""name"": ""Peter"", ""sport"": ""soccer"", ""cigar"": ""pall mall"", ""pet"": ""cat""}}",
lgp-test-4x2-38,True,True,0.0000,9,0,33,9,"{""1"": {""name"": ""Peter"", ""house"": ""craftsman""}, ""2"": {""name"": ""Arnold"", ""house"": ""colonial""}, ""3"": {""name"": ""Eric"", ""house"": ""victorian""}, ""4"": {""name"": ""Alice"", ""house"": ""ranch""}}",
lgp-test-4x6-38,True,True,0.0020,41,20,113,41,"{""1"": {""month"": ""jan"", ""name"": ""Eric"", ""animal"": ""cat"", ""are"": ""Holly"", ""sport"": ""swimming"", ""color"": ""green""}, ""2"": {""name"": ""Peter"", ""month"": ""april"", ""animal"": ""horse"", ""are"": ""Aniya"", ""color"": ""yellow"", ""sport"": ""basketball""}, ""3"": {""name"": ""Alice"", ""month"": ""sept"", ""animal"": ""fish"", ""color"": ""red"", ""are"": ""Janelle"", ""sport"": ""tennis""}, ""4"": {""month"": ""feb"", ""sport"": ""soccer"", ""name"": ""Arnold"", ""are"": ""Kailyn"", ""animal"": ""bird"", ""color"": ""white""}}",
lgp-test-5x6-4,False,False,0.0010,4,4,187,4,,
lgp-test-3x3-29,True,True,0.0010,10,1,27,10,"{""1"": {""name"": ""Eric"", ""lunch"": ""grilled cheese"", ""are"": ""Janelle""}, ""2"": {""are"": ""Aniya"", ""name"": ""Arnold"", ""lunch"": ""spaghetti""}, ""3"": {""name"": ""Peter"", ""are"": ""Holly"", ""lunch"": ""pizza""}}",
lgp-test-4x5-31,False,False,0.0010,0,0,81,0,,
lgp-test-6x6-14,True,False,0.0040,72,48,261,72,"{""1"": {""sport"": ""soccer"", ""education"": ""doctorate"", ""lunch"": ""soup"", ""child"": ""Meredith"", ""genre"": ""biography"", ""name"": ""Alice""}, ""2"": {""name"": ""Carol"", ""education"": ""high school"", ""genre"": ""fantasy"", ""child"": ""Fred"", ""sport"": ""basketball"", ""lunch"": ""spaghetti""}, ""3"": {""name"": ""Eric"", ""child"": ""Samantha"", ""lunch"": ""grilled cheese"", ""sport"": ""volleyball"", ""education"": ""master"", ""genre"": ""romance""}, ""4"": {""genre"": ""mystery"", ""education"": ""trade school"", ""child"": ""Alice"", ""sport"": ""swimming"", ""lunch"": ""pizza"", ""name"": ""Peter""}, ""5"": {""name"": ""Bob"", ""sport"": ""tennis"", ""genre"": ""historical fiction"", ""lunch"": ""stew"", ""education"": ""bachelor"", ""child"": ""Bella""}, ""6"": {""genre"": ""science fiction"", ""education"": ""associate"", ""lunch"": ""stir fry"", ""child"": ""Timothy"", ""sport"": ""baseball"", ""name"": ""Arnold""}}",
lgp-test-5x6-2,False,False,0.0010,6,7,172,6,,
lgp-test-3x3-12,True,False,0.0000,10,0,28,10,"{""1"": {""name"": ""Arnold"", ""vacation"": ""mountain"", ""height"": ""short""}, ""2"": {""vacation"": ""city"", ""name"": ""Peter"", ""height"": ""very short""}, ""3"": {""name"": ""Eric"", ""vacation"": ""beach"", ""height"": ""average""}}",
lgp-test-6x6-32,True,False,0.0150,378,447,248,378,"{""1"": {""name"": ""Peter"", ""cigar"": ""prince"", ""animal"": ""rabbit"", ""height"": ""short"", ""color"": ""blonde"", ""sport"": ""tennis""}, ""2"": {""color"": ""auburn"", ""height"": ""very short"", ""animal"": ""horse"", ""sport"": ""basketball"", ""cigar"": ""pall mall"", ""name"": ""Eric""}, ""3"": {""height"": ""tall"", ""cigar"": ""yellow monster"", ""name"": ""Bob"", ""animal"": ""cat"", ""sport"": ""baseball"", ""color"": ""gray""}, ""4"": {""sport"": ""volleyball"", ""height"": ""average"", ""animal"": ""fish"", ""color"": ""brown"", ""cigar"": ""blue master"", ""name"": ""Carol""}, ""5"": {""height"": ""very tall"", ""sport"": ""swimming"", ""animal"": ""bird"", ""color"": ""black"", ""cigar"": ""blends"", ""name"": ""Arnold""}, ""6"": {""height"": ""super tall"", ""animal"": ""dog"", ""color"": ""red"", ""cigar"": ""dunhill"", ""name"": ""Alice"", ""sport"": ""soccer""}}",
lgp-test-3x3-31,True,True,0.0000,10,0,32,10,"{""1"": {""name"": ""Peter"", ""sport"": ""basketball"", ""child"": ""Fred""}, ""2"": {""name"": ""Arnold"", ""sport"": ""tennis"", ""child"": ""Meredith""}, ""3"": {""name"": ""Eric"", ""sport"": ""soccer"", ""child"": ""Bella""}}",
lgp-test-2x5-26,True,True,0.0010,11,0,17,11,"{""1"": {""name"": ""Eric"", ""hobby"": ""gardening"", ""pet"": ""dog"", ""are"": ""Aniya"", ""color"": ""yellow""}, ""2"": {""name"": ""Arnold"", ""hobby"": ""photography"", ""pet"": ""cat"", ""are"": ""Holly"", ""color"": ""red""}}",
lgp-test-4x3-29,True,True,0.0010,13,0,60,13,"{""1"": {""name"": ""Eric"", ""cigar"": ""pall mall"", ""genre"": ""science fiction""}, ""2"": {""name"": ""Peter"", ""genre"": ""fantasy"", ""cigar"": ""blue master""}, ""3"": {""name"": ""Arnold"", ""genre"": ""mystery"", ""cigar"": ""prince""}, ""4"": {""name"": ""Alice"", ""genre"": ""romance"", ""cigar"": ""dunhill""}}",
lgp-test-5x3-18,True,True,0.0010,16,1,91,16,"{""1"": {""name"": ""Arnold"", ""animal"": ""bird"", ""flower"": ""lilies""}, ""2"": {""name"": ""Alice"", ""animal"": ""dog"", ""flower"": ""carnations""}, ""3"": {""name"": ""Eric"", ""animal"": ""horse"", ""flower"": ""tulips""}, ""4"": {""name"": ""Peter"", ""flower"": ""daffodils"", ""animal"": ""fish""}, ""5"": {""name"": ""Bob"", ""animal"": ""cat"", ""flower"": ""roses""}}",
lgp-test-4x2-5,True,True,0.0000,9,0,36,9,"{""1"": {""name"": ""Eric"", ""education"": ""master""}, ""2"": {""name"": ""Alice"", ""education"": ""bachelor""}, ""3"": {""education"": ""high school"", ""name"": ""Peter""}, ""4"": {""education"": ""associate"", ""name"": ""Arnold""}}",
lgp-test-4x4-31,True,False,0.0010,17,0,69,17,"{""1"": {""name"": ""Alice"", ""vacation"": ""mountain"", ""model"": ""honda civic"", ""hobby"": ""painting""}, ""2"": {""name"": ""Arnold"", ""vacation"": ""city"", ""hobby"": ""gardening"", ""model"": ""tesla model 3""}, ""3"": {""name"": ""Eric"", ""vacation"": ""cruise"", ""hobby"": ""cooking"", ""model"": ""ford f150""}, ""4"": {""name"": ""Peter"", ""vacation"": ""beach"", ""hobby"": ""photography"", ""model"": ""toyota camry""}}",
lgp-test-5x3-31,True,True,0.0010,18,5,84,18,"{""1"": {""name"": ""Alice"", ""month"": ""mar"", ""animal"": ""fish""}, ""2"": {""animal"": ""dog"", ""month"": ""april"", ""name"": ""Arnold""}, ""3"": {""animal"": ""bird"", ""month"": ""jan"", ""name"": ""Eric""}, ""4"": {""animal"": ""horse"", ""name"": ""Peter"", ""month"": ""sept""}, ""5"": {""month"": ""feb"", ""name"": ""Bob"", ""animal"": ""cat""}}",
lgp-test-3x2-17,True,True,0.0010,7,0,21,7,"{""1"": {""name"": ""Eric"", ""cigar"": ""blue master""}, ""2"": {""name"": ""Peter"", ""cigar"": ""pall mall""}, ""3"": {""name"": ""Arnold"", ""cigar"": ""prince""}}",
lgp-test-3x5-2,True,True,0.0000,16,0,50,16,"{""1"": {""name"": ""Eric"", ""animal"": ""cat"", ""smoothie"": ""cherry"", ""color"": ""black"", ""genre"": ""rock""}, ""2"": {""name"": ""Peter"", ""animal"": ""bird"", ""smoothie"": ""watermelon"", ""color"": ""brown"", ""genre"": ""pop""}, ""3"": {""name"": ""Arnold"", ""color"": ""blonde"", ""animal"": ""horse"", ""smoothie"": ""desert"", ""genre"": ""classical""}}",
lgp-test-5x5-15,True,False,0.0010,26,0,141,26,"{""1"": {""name"": ""Bob"", ""sport"": ""soccer"", ""vacation"": ""cruise"", ""house"": ""victorian"", ""height"": ""tall""}, ""2"": {""name"": ""Arnold"", ""height"": ""average"", ""vacation"": ""mountain"", ""sport"": ""swimming"", ""house"": ""modern""}, ""3"": {""height"": ""short"", ""sport"": ""tennis"", ""house"": ""craftsman"", ""name"": ""Alice"", ""vacation"": ""beach""}, ""4"": {""vacation"": ""camping"", ""name"": ""Eric"", ""sport"": ""baseball"", ""house"": ""ranch"", ""height"": ""very tall""}, ""5"": {""name"": ""Peter"", ""sport"": ""basketball"", ""house"": ""colonial"", ""vacation"": ""city"", ""height"": ""very short""}}",
lgp-test-4x6-20,True,True,0.0010,26,2,112,26,"{""1"": {""name"": ""Alice"", ""child"": ""Meredith"", ""lunch"": ""spaghetti"", ""are"": ""Kailyn"", ""flower"": ""roses"", ""smoothie"": ""desert""}, ""2"": {""name"": ""Arnold"", ""are"": ""Aniya"", ""flower"": ""daffodils"", ""lunch"": ""pizza"", ""child"": ""Bella"", ""smoothie"": ""watermelon""}, ""3"": {""name"": ""Eric"", ""smoothie"": ""cherry"", ""are"": ""Janelle"", ""child"": ""Fred"", ""flower"": ""lilies"", ""lunch"": ""grilled cheese""}, ""4"": {""name"": ""Peter"", ""smoothie"": ""dragonfruit"", ""are"": ""Holly"", ""flower"": ""carnations"", ""lunch"": ""stew"", ""child"": ""Samantha""}}",
lgp-test-3x2-16,True,True,0.0000,7,0,16,7,"{""1"": {""name"": ""Arnold"", ""education"": ""high school""}, ""2"": {""name"": ""Eric"", ""education"": ""associate""}, ""3"": {""name"": ""Peter"", ""education"": ""bachelor""}}",
lgp-test-2x3-27,True,True,0.0010,7,0,10,7,"{""1"": {""name"": ""Arnold"", ""model"": ""tesla model 3"", ""child"": ""Bella""}, ""2"": {""name"": ""Eric"", ""model"": ""ford f150"", ""child"": ""Fred""}}",
lgp-test-3x3-34,True,True,0.0000,10,0,32,10,"{""1"": {""name"": ""Eric"", ""education"": ""high school"", ""genre"": ""romance""}, ""2"": {""name"": ""Arnold"", ""education"": ""bachelor"", ""genre"": ""science fiction""}, ""3"": {""name"": ""Peter"", ""education"": ""associate"", ""genre"": ""mystery""}}",
lgp-test-4x2-10,True,True,0.0010,9,0,35,9,"{""1"": {""name"": ""Alice"", ""color"": ""blonde""}, ""2"": {""name"": ""Peter"", ""color"": ""black""}, ""3"": {""name"": ""Eric"", ""color"": ""red""}, ""4"": {""name"": ""Arnold"", ""color"": ""brown""}}",
lgp-test-3x5-3,True,True,0.0000,16,1,48,16,"{""1"": {""hobby"": ""cooking"", ""smoothie"": ""desert"", ""flower"": ""daffodils"", ""name"": ""Arnold"", ""animal"": ""cat""}, ""2"": {""name"": ""Peter"", ""animal"": ""horse"", ""smoothie"": ""watermelon"", ""hobby"": ""gardening"", ""flower"": ""carnations""}, ""3"": {""name"": ""Eric"", ""hobby"": ""photography"", ""smoothie"": ""cherry"", ""animal"": ""bird"", ""flower"": ""lilies""}}",
lgp-test-6x2-24,True,True,0.0000,13,1,83,13,"{""1"": {""vacation"": ""cultural"", ""name"": ""Peter""}, ""2"": {""vacation"": ""cruise"", ""name"": ""Eric""}, ""3"": {""vacation"": ""city"", ""name"": ""Bob""}, ""4"": {""name"": ""Alice"", ""vacation"": ""camping""}, ""5"": {""vacation"": ""mountain"", ""name"": ""Arnold""}, ""6"": {""name"": ""Carol"", ""vacation"": ""beach""}}",
lgp-test-6x6-22,True,False,0.0030,34,4,214,34,"{""1"": {""color"": ""brown"", ""name"": ""Peter"", ""vacation"": ""beach"", ""occupation"": ""teacher"", ""flower"": ""roses""}, ""2"": {""name"": ""Eric"", ""color"": ""blonde"", ""occupation"": ""engineer"", ""vacation"": ""cultural"", ""flower"": ""iris""}, ""3"": {""vacation"": ""cruise"", ""color"": ""gray"", ""name"": ""Bob"", ""occupation"": ""lawyer"", ""flower"": ""carnations""}, ""4"": {""name"": ""Arnold"", ""color"": ""red"", ""occupation"": ""nurse"", ""vacation"": ""mountain"", ""flower"": ""tulips""}, ""5"": {""vacation"": ""city"", ""color"": ""black"", ""name"": ""Alice"", ""occupation"": ""doctor"", ""flower"": ""lilies""}, ""6"": {""color"": ""auburn"", ""occupation"": ""artist"", ""flower"": ""daffodils"", ""name"": ""Carol"", ""vacation"": ""camping""}}",
lgp-test-6x3-1,True,True,0.0020,34,18,133,34,"{""1"": {""genre"": ""fantasy"", ""name"": ""Arnold"", ""occupation"": ""nurse""}, ""2"": {""genre"": ""romance"", ""occupation"": ""teacher"", ""name"": ""Carol""}, ""3"": {""occupation"": ""engineer"", ""genre"": ""biography"", ""name"": ""Peter""}, ""4"": {""occupation"": ""artist"", ""genre"": ""mystery"", ""name"": ""Alice""}, ""5"": {""name"": ""Eric"", ""genre"": ""historical fiction"", ""occupation"": ""lawyer""}, ""6"": {""name"": ""Bob"", ""occupation"": ""doctor"", ""genre"": ""science fiction""}}",
lgp-test-3x2-34,True,True,0.0000,7,0,16,7,"{""1"": {""name"": ""Peter"", ""model"": ""samsung galaxy s21""}, ""2"": {""name"": ""Eric"", ""model"": ""google pixel 6""}, ""3"": {""name"": ""Arnold"", ""model"": ""iphone 13""}}",
lgp-test-2x3-17,True,True,0.0010,7,0,8,7,"{""1"": {""name"": ""Arnold"", ""color"": ""brown"", ""flower"": ""daffodils""}, ""2"": {""name"": ""Eric"", ""color"": ""black"", ""flower"": ""carnations""}}",
lgp-test-5x6-34,True,False,0.0030,79,60,168,79,"{""1"": {""name"": ""Peter"", ""sport"": ""baseball"", ""color"": ""white"", ""genre"": ""science fiction"", ""month"": ""mar"", ""child"": ""Fred""}, ""2"": {""name"": ""Eric"", ""genre"": ""biography"", ""color"": ""red"", ""sport"": ""basketball"", ""child"": ""Bella"", ""month"": ""feb""}, ""3"": {""name"": ""Alice"", ""genre"": ""mystery"", ""sport"": ""swimming"", ""month"": ""jan"", ""color"": ""blue"", ""child"": ""Samantha""}, ""4"": {""name"": ""Bob"", ""genre"": ""fantasy"", ""child"": ""Timothy"", ""color"": ""yellow"", ""sport"": ""tennis"", ""month"": ""april""}, ""5"": {""name"": ""Arnold"", ""color"": ""green"", ""genre"": ""romance"", ""sport"": ""soccer"", ""month"": ""sept"", ""child"": ""Meredith""}}",
lgp-test-5x6-26,True,True,0.0040,89,69,167,89,"{""1"": {""name"": ""Bob"", ""genre"": ""fantasy"", ""house"": ""colonial"", ""model"": ""google pixel 6"", ""are"": ""Janelle"", ""nationalitie"": ""brit""}, ""2"": {""name"": ""Eric"", ""are"": ""Aniya"", ""genre"": ""biography"", ""house"": ""victorian"", ""model"": ""huawei p50"", ""nationalitie"": ""german""}, ""3"": {""name"": ""Peter"", ""genre"": ""science fiction"", ""model"": ""oneplus 9"", ""house"": ""ranch"", ""nationalitie"": ""dane"", ""are"": ""Penny""}, ""4"": {""house"": ""modern"", ""name"": ""Alice"", ""genre"": ""mystery"", ""model"": ""samsung galaxy s21"", ""nationalitie"": ""norwegian"", ""are"": ""Holly""}, ""5"": {""nationalitie"": ""swede"", ""name"": ""Arnold"", ""genre"": ""romance"", ""are"": ""Kailyn"", ""house"": ""craftsman"", ""model"": ""iphone 13""}}",
lgp-test-6x3-23,True,True,0.0010,19,0,130,19,"{""1"": {""nationalitie"": ""dane"", ""smoothie"": ""cherry"", ""name"": ""Eric""}, ""2"": {""name"": ""Arnold"", ""nationalitie"": ""norwegian"", ""smoothie"": ""lime""}, ""3"": {""nationalitie"": ""swede"", ""smoothie"": ""dragonfruit"", ""name"": ""Peter""}, ""4"": {""nationalitie"": ""chinese"", ""name"": ""Carol"", ""smoothie"": ""watermelon""}, ""5"": {""nationalitie"": ""brit"", ""name"": ""Bob"", ""smoothie"": ""blueberry""}, ""6"": {""nationalitie"": ""german"", ""smoothie"": ""desert"", ""name"": ""Alice""}}",
lgp-test-3x5-12,True,True,0.0000,37,26,46,37,"{""1"": {""name"": ""Peter"", ""cigar"": ""pall mall"", ""hobby"": ""gardening"", ""education"": ""bachelor"", ""drink"": ""water""}, ""2"": {""name"": ""Arnold"", ""cigar"": ""blue master"", ""hobby"": ""photography"", ""education"": ""associate"", ""drink"": ""milk""}, ""3"": {""cigar"": ""prince"", ""name"": ""Eric"", ""drink"": ""tea"", ""hobby"": ""cooking"", ""education"": ""high school""}}",
lgp-test-5x4-21,True,False,0.0010,21,0,110,21,"{""1"": {""name"": ""Bob"", ""occupation"": ""artist"", ""nationalitie"": ""swede"", ""flower"": ""lilies""}, ""2"": {""occupation"": ""engineer"", ""nationalitie"": ""german"", ""name"": ""Peter"", ""flower"": ""roses""}, ""3"": {""name"": ""Alice"", ""nationalitie"": ""norwegian"", ""flower"": ""daffodils"", ""occupation"": ""lawyer""}, ""4"": {""occupation"": ""doctor"", ""nationalitie"": ""dane"", ""flower"": ""carnations"", ""name"": ""Eric""}, ""5"": {""occupation"": ""teacher"", ""nationalitie"": ""brit"", ""name"": ""Arnold"", ""flower"": ""tulips""}}",
lgp-test-3x2-24,True,True,0.0000,7,0,18,7,"{""1"": {""name"": ""Peter"", ""month"": ""sept""}, ""2"": {""name"": ""Eric"", ""month"": ""jan""}, ""3"": {""name"": ""Arnold"", ""month"": ""april""}}",
lgp-test-4x6-10,True,True,0.0020,26,2,111,26,"{""1"": {""name"": ""Eric"", ""drink"": ""tea"", ""animal"": ""horse"", ""genre"": ""fantasy"", ""month"": ""april"", ""education"": ""high school""}, ""2"": {""drink"": ""milk"", ""name"": ""Arnold"", ""animal"": ""cat"", ""genre"": ""science fiction"", ""month"": ""jan"", ""education"": ""associate""}, ""3"": {""name"": ""Peter"", ""animal"": ""fish"", ""month"": ""feb"", ""drink"": ""coffee"", ""genre"": ""romance"", ""education"": ""bachelor""}, ""4"": {""name"": ""Alice"", ""drink"": ""water"", ""education"": ""master"", ""animal"": ""bird"", ""genre"": ""mystery"", ""month"": ""sept""}}",
lgp-test-5x4-24,True,False,0.0010,21,1,123,21,"{""1"": {""name"": ""Eric"", ""month"": ""april"", ""are"": ""Holly"", ""nationalitie"": ""swede""}, ""2"": {""month"": ""jan"", ""nationalitie"": ""dane"", ""are"": ""Kailyn"", ""name"": ""Bob""}, ""3"": {""name"": ""Alice"", ""nationalitie"": ""brit"", ""are"": ""Penny"", ""month"": ""mar""}, ""4"": {""month"": ""feb"", ""name"": ""Arnold"", ""are"": ""Janelle"", ""nationalitie"": ""norwegian""}, ""5"": {""name"": ""Peter"", ""are"": ""Aniya"", ""nationalitie"": ""german"", ""month"": ""sept""}}",
lgp-test-5x3-15,True,False,0.0010,16,1,76,16,"{""1"": {""name"": ""Alice"", ""animal"": ""dog"", ""model"": ""ford f150""}, ""2"": {""animal"": ""bird"", ""model"": ""tesla model 3"", ""name"": ""Eric""}, ""3"": {""name"": ""Bob"", ""animal"": ""horse"", ""model"": ""bmw 3 series""}, ""4"": {""animal"": ""fish"", ""model"": ""honda civic"", ""name"": ""Peter""}, ""5"": {""name"": ""Arnold"", ""animal"": ""cat"", ""model"": ""toyota camry""}}",
lgp-test-3x3-36,True,True,0.0010,10,0,31,10,"{""1"": {""name"": ""Peter"", ""child"": ""Meredith"", ""vacation"": ""mountain""}, ""2"": {""name"": ""Eric"", ""child"": ""Bella"", ""vacation"": ""beach""}, ""3"": {""name"": ""Arnold"", ""child"": ""Fred"", ""vacation"": ""city""}}",
lgp-test-3x6-28,True,True,0.0010,22,4,57,22,"{""1"": {""name"": ""Eric"", ""lunch"": ""pizza"", ""model"": ""toyota camry"", ""smoothie"": ""cherry"", ""genre"": ""classical"", ""month"": ""jan""}, ""2"": {""name"": ""Arnold"", ""lunch"": ""spaghetti"", ""smoothie"": ""watermelon"", ""model"": ""ford f150"", ""month"": ""april"", ""genre"": ""rock""}, ""3"": {""name"": ""Peter"", ""lunch"": ""grilled cheese"", ""smoothie"": ""desert"", ""model"": ""tesla model 3"", ""genre"": ""pop"", ""month"": ""sept""}}",
lgp-test-4x3-33,True,True,0.0000,14,2,57,14,"{""1"": {""name"": ""Peter"", ""lunch"": ""grilled cheese"", ""animal"": ""cat""}, ""2"": {""name"": ""Eric"", ""lunch"": ""stew"", ""animal"": ""horse""}, ""3"": {""name"": ""Arnold"", ""lunch"": ""pizza"", ""animal"": ""bird""}, ""4"": {""name"": ""Alice"", ""animal"": ""fish"", ""lunch"": ""spaghetti""}}",
lgp-test-2x6-7,True,False,0.0000,13,0,26,13,"{""1"": {""name"": ""Eric"", ""hobby"": ""gardening"", ""model"": ""samsung galaxy s21"", ""child"": ""Bella"", ""animal"": ""horse"", ""vacation"": ""beach""}, ""2"": {""name"": ""Arnold"", ""hobby"": ""photography"", ""model"": ""iphone 13"", ""child"": ""Fred"", ""animal"": ""cat"", ""vacation"": ""mountain""}}",
lgp-test-6x6-34,True,True,0.0030,44,10,263,44,"{""1"": {""name"": ""Alice"", ""lunch"": ""pizza"", ""pet"": ""cat"", ""occupation"": ""nurse"", ""smoothie"": ""watermelon"", ""genre"": ""country""}, ""2"": {""name"": ""Bob"", ""lunch"": ""soup"", ""genre"": ""jazz"", ""smoothie"": ""lime"", ""pet"": ""hamster"", ""occupation"": ""doctor""}, ""3"": {""name"": ""Carol"", ""smoothie"": ""blueberry"", ""lunch"": ""stir fry"", ""pet"": ""bird"", ""occupation"": ""teacher"", ""genre"": ""pop""}, ""4"": {""name"": ""Arnold"", ""lunch"": ""spaghetti"", ""smoothie"": ""dragonfruit"", ""genre"": ""classical"", ""occupation"": ""lawyer"", ""pet"": ""rabbit""}, ""5"": {""name"": ""Eric"", ""smoothie"": ""desert"", ""lunch"": ""grilled cheese"", ""pet"": ""dog"", ""occupation"": ""engineer"", ""genre"": ""hip hop""}, ""6"": {""name"": ""Peter"", ""pet"": ""fish"", ""smoothie"": ""cherry"", ""lunch"": ""stew"", ""genre"": ""rock"", ""occupation"": ""artist""}}",
